"","x"
"881","PBXIP1"
"882","ZDHHC19"
"883","CDC25B"
"884","PTGER4"
"885","IGFBP3"
"886","ZNF365"
"887","LAT2"
"888","CDC14B"
"889","ATP2A3"
"890","TENM1"
"891","TGFBR1"
"892","TMEM156"
"893","BTN3A1"
"894","ODF2L"
"895","JUND"
"896","NFKBID"
"897","OFD1"
"898","PALLD"
"899","PLCG1"
"900","RASGRP1"
"901","PARP14"
"902","CHD3"
"903","CDHR3"
"904","TNIP3"
"905","TUBA4A"
"906","OSM"
"907","GLIPR1"
"908","LRRN3"
"909","BCL2L1"
"910","LRRFIP1"
"911","TBXA2R"
"912","ABCA5"
"913","SERPINE2"
"914","ZFAND5"
"915","UCP2"
"916","ZNF80"
"917","TMEM181"
"918","FNDC3B"
"919","MAPRE2"
"920","ITGAX"
"921","RBM38"
"922","ARHGAP26"
"923","RAP1B"
"924","CASZ1"
"925","CDK17"
"926","GAB3"
"927","KIF21B"
"928","CENPF"
"929","BCL9L"
"930","CLDND1"
"931","LINC01013"
"932","TCF7L2"
"933","GOLGA4"
"934","EZR"
"935","MARCKSL1"
"936","KLF12"
"937","ADHFE1"
"938","CRIM1"
"939","KAT6B"
"940","RRBP1"
"941","IGF1R"
"942","LINGO2"
"943","ESF1"
"944","CD82"
"945","SLC4A7"
"946","DTX3"
"947","ADARB1"
"948","C12orf42"
"949","SCML4"
"950","METRN"
"951","GCLM"
"952","KALRN"
"953","ZBTB20"
"954","PCED1B"
"955","GPR141"
"956","MLF1"
"957","ITGB7"
"958","HOXB2"
"959","PEAK1"
"960","FLT3LG"
"961","ZNF827"
"962","EPN2"
"963","ZC3H6"
"964","ARHGAP10"
"965","METRNL"
"966","MAST4"
"967","CD40LG"
"968","TSPAN5"
"969","XAF1"
"970","TBC1D19"
"971","LRRC43"
"972","RPS20"
"973","C2orf88"
"974","CD93"
"975","XBP1"
"976","MEG3"
"977","HES6"
"978","SYCP2"
"979","HSP90B1"
"980","ZBTB37"
"981","NEXN"
"982","SLC20A1"
"983","FAM167B"
"984","EBF4"
"985","MLH3"
"986","STX1A"
"987","LIMS1"
"988","SLC41A1"
"989","NSG1"
"990","TAGAP"
"991","IL12RB2"
"992","TNNC2"
"993","ARNTL"
"994","STRBP"
"995","RALGDS"
"996","MAML2"
"997","C12orf65"
"998","DGKH"
"999","MYADM"
"1000","SLC16A11"
"1001","CCR6"
"1002","FAM43A"
"1003","USP11"
"1004","ACOT4"
"1005","MIDN"
"1006","LRIF1"
"1007","KANK3"
"1008","ITPRIPL1"
"1009","CTSZ"
"1010","EIF5A2"
"1011","RBPMS2"
"1012","ARHGEF3"
"1013","RP9"
"1014","PCNT"
"1015","NUP214"
