"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE419","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",27,3.64901341250791,NA,1,0.0158612963362957,0.0485302462853794,0.2378,3.6377870461581,0.0158532205729772,0.0485226752542742,0.2375
"Beta_SSE420","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",28,3.69754493050459,NA,1,0.0135701138156496,0.0453169988787703,0.2531,3.69754493050459,0.0135701138156496,0.0452929183166662,0.2523
"Beta_SSE421","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",29,3.36401805783514,NA,1,0.0164215375714092,0.0511449855534539,0.2505,3.36401805783514,0.0164092935117435,0.0511449855534539,0.2504
"Beta_SSE422","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",3,3.37585348025191,NA,1,0.0159828024523713,0.0486004429340374,0.2262,3.37585348025191,0.0159828024523713,0.0486004429340374,0.2252
"Beta_SSE423","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",30,4.59894244933367,NA,1,0.0160532782042751,0.0490905591908128,0.2315,4.51011862688161,0.0159496654753565,0.04877246655416,0.2311
"Beta_SSE424","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",31,3.05661508586255,NA,1,0.0154091201877265,0.0484086793166959,0.2436,3.00939551293646,0.0153766953363371,0.0483734486985879,0.2432
"Beta_SSE425","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",32,3.15269221130158,NA,1,0.0164241518321851,0.0512541075061532,0.2557,3.04329957910057,0.0163312933077866,0.0509284435012933,0.2545
"Beta_SSE426","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",33,4.1654425071532,NA,1,0.0181499391243017,0.0528968872532117,0.244,4.14533771604923,0.018117338505719,0.0528424581973448,0.2432
"Beta_SSE427","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",34,5.33295432984056,NA,1,0.0159402359175958,0.0479463046228456,0.2262,5.33295432984056,0.0159402359175958,0.0479463046228456,0.2254
"Beta_SSE428","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",35,3.65306803647699,NA,1,0.0165823853736059,0.051987149743632,0.2737,3.64402448036767,0.0165531000813501,0.0519781397317608,0.273
