"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE147","fine_clean_low_dim_simulations","K",1,"group_lasso",7,2.9760797953305,NA,1,0.0178462274816377,0.0546935771408476,0.2773,2.96902852574787,0.0178295400830701,0.0546935771408476,0.2773
"Beta_SSE58","fine_clean_low_dim_simulations","K",1,"elastic_net",8,3.04070579275105,NA,1,0.0155473871070334,0.0496347087161391,0.2478,3.04070579275105,0.0155473871070334,0.0496347087161391,0.2475
"Beta_SSE148","fine_clean_low_dim_simulations","K",1,"group_lasso",8,3.04070579275105,NA,1,0.0155473871070334,0.0496347087161391,0.2478,3.04070579275105,0.0155473871070334,0.0496347087161391,0.2475
"Beta_SSE59","fine_clean_low_dim_simulations","K",1,"elastic_net",9,3.11967269854818,NA,1,0.016122983934974,0.0493647176993901,0.2456,2.99698409386908,0.0159844542457408,0.0490774365904304,0.2452
"Beta_SSE149","fine_clean_low_dim_simulations","K",1,"group_lasso",9,3.11967269854818,NA,1,0.016122983934974,0.0493647176993901,0.2456,2.99698409386908,0.0159844542457408,0.0490774365904304,0.2452
"Beta_SSE60","fine_clean_low_dim_simulations","K",1,"IBMR",1,2.78896301066026,NA,1,0.0157080665031366,0.0498802540338706,0.2575,2.77652681106554,0.01568035793681,0.0498105588922696,0.2563
"Beta_SSE61","fine_clean_low_dim_simulations","K",1,"IBMR",10,3.143646638949,NA,1,0.0164670216305185,0.0515889019805397,0.2574,3.12112150916392,0.0164472322630116,0.0515340757650337,0.2562
"Beta_SSE62","fine_clean_low_dim_simulations","K",1,"IBMR",11,4.00826638942977,NA,1,0.0176182431440044,0.052528056625156,0.2539,3.95176445081705,0.0175867172712135,0.0523838678807401,0.2535
"Beta_SSE63","fine_clean_low_dim_simulations","K",1,"IBMR",12,2.86498156451443,NA,1,0.0142894646709579,0.048365414515833,0.2707,2.8166602451936,0.0142533052356595,0.0481498336626451,0.2699
"Beta_SSE64","fine_clean_low_dim_simulations","K",1,"IBMR",13,3.50875804958141,NA,1,0.0157806248763666,0.0495521496481785,0.2526,3.35024323105784,0.015580643252539,0.049035692084653,0.2517
"Beta_SSE65","fine_clean_low_dim_simulations","K",1,"IBMR",14,3.00054273555769,NA,1,0.0164288514614083,0.0518344990599533,0.2685,2.91035618860942,0.016280242349791,0.0516240170016864,0.2666
"Beta_SSE66","fine_clean_low_dim_simulations","K",1,"IBMR",15,3.93255319016347,NA,1,0.0178159363596074,0.0521116951494087,0.2331,3.93255319016347,0.0178109559173224,0.0520802422287032,0.2321
"Beta_SSE67","fine_clean_low_dim_simulations","K",1,"IBMR",16,3.37218628009658,NA,1,0.0159984117660067,0.05061877194745,0.2545,3.37218628009658,0.0159928878607532,0.05061877194745,0.2533
"Beta_SSE68","fine_clean_low_dim_simulations","K",1,"IBMR",17,3.4811566649264,NA,1,0.0160190014690706,0.0504134826430369,0.2517,3.44861791846936,0.0159973835109272,0.0504005171795419,0.2509
"Beta_SSE69","fine_clean_low_dim_simulations","K",1,"IBMR",18,4.0901814512219,NA,1,0.0170688564104418,0.0507072189002454,0.2427,3.91921576133065,0.0169765380795366,0.0504981130724405,0.2421
"Beta_SSE70","fine_clean_low_dim_simulations","K",1,"IBMR",19,3.28124944097897,NA,1,0.0175683620492564,0.0534819156383657,0.2718,3.18031085372274,0.0174784336548122,0.0533379180016154,0.2706
"Beta_SSE71","fine_clean_low_dim_simulations","K",1,"IBMR",2,5.32790399246118,NA,1,0.017188142916209,0.0502746059678366,0.2298,5.30392812658375,0.0171427959127649,0.0502194347966976,0.2295
"Beta_SSE72","fine_clean_low_dim_simulations","K",1,"IBMR",20,3.89802916979342,NA,1,0.0143253185590162,0.0458746723306638,0.2365,3.79649448230415,0.014273562733867,0.0457483616552784,0.2344
"Beta_SSE73","fine_clean_low_dim_simulations","K",1,"IBMR",21,3.49008368886124,NA,1,0.0147688861435173,0.0472267705144999,0.2338,3.49008368886124,0.0147378666760656,0.0471889363197912,0.233
"Beta_SSE74","fine_clean_low_dim_simulations","K",1,"IBMR",22,5.01364466187524,NA,1,0.0166217467934361,0.0503545142675367,0.2447,4.40156643319502,0.0162350021524615,0.0497084146602063,0.2439
"Beta_SSE75","fine_clean_low_dim_simulations","K",1,"IBMR",23,2.89746307033692,NA,1,0.0154999620515254,0.0497988892599305,0.2538,2.81224558466213,0.0154447167190417,0.0497209810485158,0.2528
"Beta_SSE76","fine_clean_low_dim_simulations","K",1,"IBMR",24,2.93658838226113,NA,1,0.017949207860097,0.0544140214427768,0.267,2.90053729674518,0.0179249529857065,0.0544025809849997,0.2666
"Beta_SSE77","fine_clean_low_dim_simulations","K",1,"IBMR",25,2.67491792102324,NA,1,0.0147302288165544,0.0482988114596414,0.2555,2.64261676841714,0.0146734741035985,0.0481831378993471,0.253
"Beta_SSE78","fine_clean_low_dim_simulations","K",1,"IBMR",26,3.75756938263334,NA,1,0.0168036141726722,0.0508067673300436,0.2356,3.73470493660436,0.0167893181233638,0.0507945647238836,0.2345
"Beta_SSE79","fine_clean_low_dim_simulations","K",1,"IBMR",27,3.63229800123506,NA,1,0.0158434183524191,0.0485437687497386,0.2384,3.62802742551054,0.0158270514605366,0.0484993716231406,0.2372
"Beta_SSE80","fine_clean_low_dim_simulations","K",1,"IBMR",28,3.69346670065305,NA,1,0.0135774073396473,0.0453521241503841,0.2535,3.69346670065305,0.0135607928179378,0.0452745977881769,0.2523
"Beta_SSE81","fine_clean_low_dim_simulations","K",1,"IBMR",29,3.40111781575509,NA,1,0.016468542622855,0.0512246438778569,0.2502,3.35323117503127,0.0163947760234149,0.0511147899633986,0.2501
"Beta_SSE82","fine_clean_low_dim_simulations","K",1,"IBMR",3,3.50065590450694,NA,1,0.0161694355202071,0.0490452435933194,0.2262,3.37438563527101,0.0159816454706908,0.0485723982702295,0.2249
"Beta_SSE83","fine_clean_low_dim_simulations","K",1,"IBMR",30,4.5127466083872,NA,1,0.0159757789508881,0.048881450156555,0.2315,4.49209553682281,0.0159486847681858,0.048770256479299,0.2311
"Beta_SSE84","fine_clean_low_dim_simulations","K",1,"IBMR",31,3.06194504912665,NA,1,0.0152073161653059,0.0480778387965178,0.2439,3.005542906201,0.0152073161653059,0.0480778387965178,0.2419
"Beta_SSE85","fine_clean_low_dim_simulations","K",1,"IBMR",32,3.11931676586626,NA,1,0.0163969686647652,0.0511769393711219,0.2557,3.04307335140214,0.0163310930545934,0.050927950954561,0.2545
"Beta_SSE86","fine_clean_low_dim_simulations","K",1,"IBMR",33,4.21496014549997,NA,1,0.0181769352895325,0.0529576796708641,0.2439,4.12231590239932,0.0180636463545205,0.0527600805312273,0.243
"Beta_SSE87","fine_clean_low_dim_simulations","K",1,"IBMR",34,5.33181291480509,NA,1,0.0159813488631347,0.0480221727829416,0.2261,5.3271443302292,0.015939446416325,0.0479446899001184,0.2251
"Beta_SSE88","fine_clean_low_dim_simulations","K",1,"IBMR",35,3.63137840154976,NA,1,0.016562135656679,0.0520009004390724,0.274,3.6145246547976,0.0165325869213224,0.0519162549890611,0.2725
