"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error","oracle"
"Beta_SSE86","random_X_and_Beta","N",19200,"glmnet_subset",42,1974.91567597091,0.9375,1,2.76101744867719,0.45177976481756,0.3778,1011.54476195186,2.17693869271355,0.410335333829848,0.3576,"observed"
"Beta_SSE87","random_X_and_Beta","N",19200,"glmnet_subset",43,1930.41763426703,0.9275,1,2.68213047819933,0.448296523162665,0.3714,1034.69856824131,2.16192310857671,0.412407889697894,0.3562,"observed"
"Beta_SSE88","random_X_and_Beta","N",19200,"glmnet_subset",44,1865.54630902905,0.9575,1,2.71309841881632,0.455268433994569,0.3905,956.483107734317,2.2054247584674,0.420388046057494,0.3709,"observed"
"Beta_SSE89","random_X_and_Beta","N",19200,"glmnet_subset",45,1980.09966920994,0.9425,1,2.76331344105782,0.453998028609064,0.3789,1094.71974941027,2.24535751397416,0.418854689101908,0.3625,"observed"
"Beta_SSE90","random_X_and_Beta","N",19200,"glmnet_subset",46,1960.6974966787,0.9325,1,2.69602957941142,0.447680871318231,0.3744,1054.02100602666,2.08491511529976,0.404965657644311,0.3616,"observed"
"Beta_SSE91","random_X_and_Beta","N",19200,"glmnet_subset",47,1916.23932422778,0.955,1,2.68381956503377,0.451989443058408,0.3748,962.820215729402,2.18038243588737,0.417022106259827,0.3536,"observed"
"Beta_SSE92","random_X_and_Beta","N",19200,"glmnet_subset",48,1815.60815797412,0.94,1,2.55832979906473,0.446187233022925,0.3733,915.502284853668,2.06125276903796,0.409361152139144,0.364,"observed"
"Beta_SSE93","random_X_and_Beta","N",19200,"glmnet_subset",49,1962.96665818154,0.9175,1,2.74705069604231,0.452050269869754,0.3739,1039.61416787435,2.15889675319693,0.411318690486769,0.3575,"observed"
"Beta_SSE94","random_X_and_Beta","N",19200,"glmnet_subset",5,1938.97159884548,0.95,1,2.8036386210584,0.457653141387713,0.3879,1070.38688144627,2.29292570512208,0.422534723801426,0.3681,"observed"
"Beta_SSE95","random_X_and_Beta","N",19200,"glmnet_subset",50,1900.82005648365,0.945,1,2.66958753633253,0.451806658578852,0.3856,978.392009314134,2.14298559815191,0.415124129471014,0.3643,"observed"
"Beta_SSE96","random_X_and_Beta","N",19200,"glmnet_subset",6,1865.97613663845,0.965,1,2.6282920786059,0.448865452220319,0.3734,928.148524390272,2.08348153083501,0.409909354017623,0.3558,"observed"
"Beta_SSE97","random_X_and_Beta","N",19200,"glmnet_subset",7,1910.24658212704,0.95,1,2.66337390979309,0.448926017071946,0.3829,1011.93461212964,2.17322591219352,0.414908790465135,0.3633,"observed"
"Beta_SSE98","random_X_and_Beta","N",19200,"glmnet_subset",8,1904.79395494111,0.945,1,2.72289466439429,0.457285695051599,0.3887,997.113067916812,2.18991313026259,0.421835936283354,0.3679,"observed"
"Beta_SSE99","random_X_and_Beta","N",19200,"glmnet_subset",9,1863.62506897866,0.94,1,2.69052746643678,0.451556253077072,0.3826,981.082544426482,2.1575455366301,0.414415757037122,0.3612,"observed"
"Beta_SSE100","random_X_and_Beta","N",19200,"glmnet_subset",1,881.903368113952,1,1,0.385655486940793,0.203985329564225,0.1835,446.883716805802,0.327760239813535,0.179840580161352,0.1733,"ORC_fine"
"Beta_SSE101","random_X_and_Beta","N",19200,"glmnet_subset",10,875.346366758346,1,1,0.382096599286845,0.202675555963974,0.1763,456.071089297702,0.322475686771175,0.178640774025766,0.1637,"ORC_fine"
"Beta_SSE102","random_X_and_Beta","N",19200,"glmnet_subset",11,838.673426635084,0.9975,1,0.379491994769316,0.203686084197692,0.1896,403.500656294599,0.317450700297523,0.178369478778153,0.1797,"ORC_fine"
"Beta_SSE103","random_X_and_Beta","N",19200,"glmnet_subset",12,877.16883938759,1,1,0.403237055782205,0.2086265884336,0.183,437.840532232269,0.317775999520487,0.17725911812152,0.171,"ORC_fine"
"Beta_SSE104","random_X_and_Beta","N",19200,"glmnet_subset",13,850.076278858247,1,1,0.39015318096464,0.206238791182691,0.1924,407.867918737978,0.334821945026662,0.183033111784108,0.1752,"ORC_fine"
"Beta_SSE105","random_X_and_Beta","N",19200,"glmnet_subset",14,902.20762813243,1,1,0.407094317417178,0.209348866777071,0.1854,482.810145716825,0.34677742545277,0.185729698189718,0.1731,"ORC_fine"
"Beta_SSE106","random_X_and_Beta","N",19200,"glmnet_subset",15,809.464498884926,1,1,0.383570100535611,0.204729599895537,0.1885,382.34040227529,0.334577949004876,0.18255000120332,0.1704,"ORC_fine"
"Beta_SSE107","random_X_and_Beta","N",19200,"glmnet_subset",16,823.348648955975,1,1,0.387391580017355,0.20571231624851,0.1859,392.748954789661,0.327985438039605,0.181060768138333,0.1709,"ORC_fine"
"Beta_SSE108","random_X_and_Beta","N",19200,"glmnet_subset",17,657.151204116179,1,1,0.333788546333519,0.189219871569955,0.1896,438.143570235214,0.31145538520982,0.178182842765047,0.173,"ORC_fine"
"Beta_SSE109","random_X_and_Beta","N",19200,"glmnet_subset",18,866.484184995324,1,1,0.398386710711904,0.206995107888704,0.1859,420.184307776488,0.345967857880124,0.18405775568898,0.1709,"ORC_fine"
"Beta_SSE110","random_X_and_Beta","N",19200,"glmnet_subset",19,867.250257142812,1,1,0.397341593258213,0.20769691758975,0.1922,426.971029123581,0.337833209036545,0.183358505017607,0.1756,"ORC_fine"
"Beta_SSE111","random_X_and_Beta","N",19200,"glmnet_subset",2,706.468268755909,1,1,0.34855385955335,0.191306682202057,0.1909,474.613813277615,0.325256260145453,0.180273346485476,0.1708,"ORC_fine"
"Beta_SSE112","random_X_and_Beta","N",19200,"glmnet_subset",20,866.472050148861,1,1,0.390058046051461,0.2053396016124,0.1788,430.559260999331,0.326460630494001,0.179508556999965,0.1675,"ORC_fine"
"Beta_SSE113","random_X_and_Beta","N",19200,"glmnet_subset",21,832.76636906769,1,1,0.386604382476712,0.204071559908518,0.1889,393.222515438087,0.328684061695655,0.180256578632835,0.1806,"ORC_fine"
"Beta_SSE114","random_X_and_Beta","N",19200,"glmnet_subset",22,837.358353315985,1,1,0.388650817388315,0.206784481445134,0.1939,400.865467566492,0.327083351349234,0.181438090670157,0.1781,"ORC_fine"
"Beta_SSE115","random_X_and_Beta","N",19200,"glmnet_subset",23,832.597369641023,0.9975,1,0.375001676465989,0.202839417258967,0.1906,408.181616186687,0.321190432640518,0.179846034414184,0.1812,"ORC_fine"
"Beta_SSE116","random_X_and_Beta","N",19200,"glmnet_subset",24,816.290743209451,1,1,0.381980162653759,0.206036777919917,0.1866,378.454780724426,0.320914424327468,0.180357761243404,0.1741,"ORC_fine"
"Beta_SSE117","random_X_and_Beta","N",19200,"glmnet_subset",25,786.4231287912,1,1,0.364636865466998,0.199507496581987,0.1881,355.899210531479,0.319863059227709,0.178795082175683,0.1714,"ORC_fine"
"Beta_SSE118","random_X_and_Beta","N",19200,"glmnet_subset",26,693.684878597199,1,1,0.342576168046412,0.190983912601605,0.19,316.472511143753,0.325995621507871,0.181945724933046,0.1731,"ORC_fine"
"Beta_SSE119","random_X_and_Beta","N",19200,"glmnet_subset",27,863.141708506375,1,1,0.383097245350624,0.203300520464604,0.1804,413.368646718809,0.311631785008815,0.175458758684862,0.1702,"ORC_fine"
"Beta_SSE120","random_X_and_Beta","N",19200,"glmnet_subset",28,779.108673806004,1,1,0.363905539069463,0.198924956956224,0.1844,343.563053720061,0.3160342978975,0.175570719169084,0.1707,"ORC_fine"
"Beta_SSE121","random_X_and_Beta","N",19200,"glmnet_subset",29,908.645180455475,0.9975,1,0.387619788697709,0.204101096437752,0.1836,441.004488434758,0.323353465596951,0.178024967520862,0.1711,"ORC_fine"
"Beta_SSE122","random_X_and_Beta","N",19200,"glmnet_subset",3,664.196709381297,1,1,0.345138292802308,0.190900445045189,0.1886,454.676301072331,0.329552777639306,0.181559495629963,0.169,"ORC_fine"
"Beta_SSE123","random_X_and_Beta","N",19200,"glmnet_subset",30,698.680176337599,1,1,0.335488651171186,0.18637410822339,0.1861,476.784584503716,0.316157027287201,0.175884453370608,0.1636,"ORC_fine"
"Beta_SSE124","random_X_and_Beta","N",19200,"glmnet_subset",31,663.799234121075,1,1,0.332591384323405,0.1862640676902,0.1901,446.312950977327,0.317904775915519,0.176998789809636,0.1672,"ORC_fine"
"Beta_SSE125","random_X_and_Beta","N",19200,"glmnet_subset",32,667.239504625569,1,1,0.344859109726952,0.190297599998946,0.1912,458.212973945329,0.327743225633343,0.180304953269908,0.1735,"ORC_fine"
"Beta_SSE126","random_X_and_Beta","N",19200,"glmnet_subset",33,728.586390197488,1,1,0.352676827012366,0.19666901339595,0.1973,329.851654472697,0.318946011549241,0.178368826468495,0.1787,"ORC_fine"
"Beta_SSE127","random_X_and_Beta","N",19200,"glmnet_subset",34,638.199937383717,1,1,0.346998911323821,0.193603539456218,0.2003,429.253922981473,0.329940979210676,0.184496097002007,0.1804,"ORC_fine"
"Beta_SSE128","random_X_and_Beta","N",19200,"glmnet_subset",35,870.087941172056,1,1,0.378394858995493,0.203059508185318,0.1837,423.827653744901,0.311092653351086,0.176448356265817,0.1732,"ORC_fine"
